district_code,county_code,county_name
1,3,"MARUZI COUNTY"
1,291,"APAC MUNICIPALITY"
2,7,"AYIVU COUNTY"
2,11,"TEREGO WEST COUNTY"
2,12,"VURRA COUNTY"
2,13,"ARUA MUNICIPALITY"
2,279,"TEREGO EAST COUNTY"
3,14,"BWAMBA COUNTY"
3,215,"BUGHENDERA COUNTY"
4,18,"IGARA COUNTY EAST"
4,19,"IGARA COUNTY WEST"
4,225,"BUSHENYI -ISHAKA MUNICIPALITY"
5,23,"ASWA COUNTY"
5,27,"GULU MUNICIPALITY"
6,28,"BUGAHYA COUNTY"
6,227,"HOIMA MUNICIPALITY"
6,264,"KIGOROBYA COUNTY"
7,38,"KIGULU COUNTY NORTH"
7,39,"KIGULU COUNTY SOUTH"
7,228,"IGANGA MUNICIPALITY"
8,41,"BUTEMBE COUNTY"
8,42,"KAGOMA COUNTY"
8,43,"JINJA MUNICIPALITY EAST"
8,44,"JINJA MUNICIPALITY WEST"
9,45,"NDORWA COUNTY EAST"
9,46,"NDORWA COUNTY WEST"
9,50,"KABALE MUNICIPALITY"
10,52,"BURAHYA COUNTY"
10,58,"FORT PORTAL MUNICIPALITY"
11,59,"BUJUMBA COUNTY"
11,60,"KYAMUSWA COUNTY"
12,61,"KAMPALA CENTRAL DIVISION"
12,62,"KAWEMPE DIVISION NORTH"
12,63,"KAWEMPE DIVISION SOUTH"
12,64,"MAKINDYE DIVISION EAST"
12,65,"MAKINDYE DIVISION WEST"
12,66,"RUBAGA DIVISION NORTH"
12,67,"RUBAGA DIVISION SOUTH"
12,68,"NAKAWA DIVISION"
13,70,"BUGABULA COUNTY NORTH"
13,71,"BUGABULA COUNTY SOUTH"
13,73,"BUZAAYA COUNTY"
13,282,"KAMULI MUNICIPALITY"
14,76,"TINGEY COUNTY"
14,283,"KAPCHORWA MUNICIPALITY"
15,77,"BUKONZO COUNTY  EAST"
15,78,"BUKONJO COUNTY WEST"
15,79,"BUSONGORA COUNTY NORTH"
15,80,"BUSONGORA COUNTY SOUTH"
15,229,"KASESE MUNICIPALITY"
16,83,"BUYANJA COUNTY"
17,84,"KIBOGA  EAST COUNTY"
18,86,"BUFUMBIRA COUNTY EAST"
18,87,"BUFUMBIRA COUNTY NORTH"
18,88,"BUFUMBIRA COUNTY SOUTH"
18,285,"KISORO MUNICIPALITY"
19,91,"CHUA WEST COUNTY"
19,250,"CHUA EAST COUNTY"
19,286,"KITGUM MUNICIPALITY"
20,94,"JIE COUNTY"
20,296,"KOTIDO MUNICIPALITY"
21,97,"KUMI COUNTY"
21,258,"KANYUM COUNTY"
21,288,"KUMI MUNICIPALITY"
22,100,"ERUTE COUNTY NORTH"
22,101,"ERUTE COUNTY SOUTH"
22,105,"LIRA MUNICIPALITY"
23,107,"KATIKAMU COUNTY NORTH"
23,108,"KATIKAMU COUNTY SOUTH"
23,110,"BAMUNANIKA COUNTY"
24,114,"BUKOTO COUNTY EAST"
24,116,"BUKOTO COUNTY CENTRAL"
24,121,"MASAKA MUNICIPALITY"
25,122,"BUJENJE COUNTY"
25,124,"BURULI COUNTY"
25,230,"MASINDI MUNICIPALITY"
26,131,"BUNGOKHO COUNTY NORTH"
26,132,"BUNGOKHO COUNTY SOUTH"
26,134,"MBALE MUNICIPALITY"
27,140,"KASHARI NORTH COUNTY"
27,144,"MBARARA MUNICIPALITY"
27,259,"KASHARI SOUTH COUNTY"
28,147,"MATHENIKO COUNTY"
28,150,"MOROTO MUNICIPALITY"
28,278,"TEPETH COUNTY"
29,153,"WEST MOYO COUNTY"
30,162,"MAWOKOTA COUNTY NORTH"
30,163,"MAWOKOTA COUNTY SOUTH"
31,166,"BUWEKULA COUNTY"
31,221,"KASAMBYA COUNTY"
31,290,"MUBENDE MUNICIPALITY"
32,176,"MUKONO COUNTY NORTH"
32,177,"MUKONO COUNTY SOUTH"
32,178,"NAKIFUMA COUNTY"
32,231,"MUKONO MUNICIPALITY"
33,183,"PADYERE COUNTY"
33,292,"NEBBI MUNICIPALITY"
34,184,"KAJARA COUNTY"
34,185,"RUHAAMA COUNTY"
34,186,"RUSHENYI COUNTY"
34,232,"NTUNGAMO MUNICIPALITY"
35,190,"PALLISA COUNTY"
35,234,"AGULE COUNTY"
35,261,"KIBALE COUNTY"
36,193,"KOOKI COUNTY"
36,249,"BUYAMBA COUNTY"
37,197,"RUBABO COUNTY"
37,198,"RUJUMBURA COUNTY"
