district_code,district_name,region,sub_region
1,APAC,Northern,Lango
2,ARUA,Northern,West Nile
3,BUNDIBUGYO,Western,Rwenzori
4,BUSHENYI,Western,Ankole
5,GULU,Northern,Acholi
6,HOIMA,Western,Bunyoro
7,IGANGA,Eastern,Busoga
8,JINJA,Eastern,Busoga
9,KABALE,Western,Kigezi
10,KABAROLE,Western,Tooro
11,KALANGALA,Central,Buganda
12,KAMPALA,Central,Kampala
13,KAMULI,Eastern,Busoga
14,KAPCHORWA,Eastern,Sebei
15,KASESE,Western,Rwenzori
16,KIBAALE,Western,Bunyoro
17,KIBOGA,Central,Buganda
18,KISORO,Western,Kigezi
19,KITGUM,Northern,Acholi
20,KOTIDO,Northern,Karamoja
21,KUMI,Eastern,Teso
22,LIRA,Northern,Lango
23,LUWERO,Central,Buganda
24,MASAKA,Central,Buganda
25,MASINDI,Western,Bunyoro
26,MBALE,Eastern,Bugisu
27,MBARARA,Western,Ankole
28,MOROTO,Northern,Karamoja
29,MOYO,Northern,Madi
30,MPIGI,Central,Buganda
31,MUBENDE,Central,Buganda
32,MUKONO,Central,Buganda
33,NEBBI,Northern,West Nile
34,NTUNGAMO,Western,Ankole
35,PALLISA,Eastern,Bukedi
36,RAKAI,Central,Buganda
37,RUKUNGIRI,Western,Kigezi
38,SOROTI,Eastern,Teso
39,TORORO,Eastern,Bukedi
40,ADJUMANI,Northern,Madi
41,BUGIRI,Eastern,Busoga
42,BUSIA,Eastern,Bukedi
43,KATAKWI,Eastern,Teso
44,NAKASONGOLA,Central,Buganda
45,SEMBABULE,Central,Buganda
46,KAMWENGE,Western,Tooro
47,KAYUNGA,Central,Buganda
48,KYENJOJO,Western,Tooro
49,MAYUGE,Eastern,Busoga
50,PADER,Northern,Acholi
51,SIRONKO,Eastern,Bugisu
52,WAKISO,Central,Buganda
53,YUMBE,Northern,West Nile
54,KABERAMAIDO,Eastern,Teso
55,KANUNGU,Western,Kigezi
56,NAKAPIRIPIRIT,Northern,Karamoja
57,AMOLATAR,Northern,Lango
58,AMURIA,Eastern,Teso
59,BUKWO,Eastern,Sebei
60,BUTALEJA,Eastern,Bukedi
61,IBANDA,Western,Ankole
62,ISINGIRO,Western,Ankole
63,KAABONG,Northern,Karamoja
64,KALIRO,Eastern,Busoga
65,KIRUHURA,Western,Ankole
66,KOBOKO,Northern,West Nile
67,MANAFWA,Eastern,Bugisu
68,MITYANA,Central,Buganda
69,NAKASEKE,Central,Buganda
70,ABIM,Northern,Karamoja
71,AMURU,Northern,Acholi
72,BUDAKA,Eastern,Bukedi
73,BULIISA,Western,Bunyoro
74,DOKOLO,Northern,Lango
75,NAMUTUMBA,Eastern,Busoga
76,OYAM,Northern,Lango
77,MARACHA,Northern,West Nile
78,BUDUDA,Eastern,Bugisu
79,BUKEDEA,Eastern,Teso
80,LYANTONDE,Central,Buganda
81,AMUDAT,Northern,Karamoja
82,BUIKWE,Central,Buganda
83,BUYENDE,Eastern,Busoga
84,KYEGEGWA,Western,Tooro
85,LAMWO,Northern,Acholi
86,OTUKE,Northern,Lango
87,ZOMBO,Northern,West Nile
88,ALEBTONG,Northern,Lango
89,BULAMBULI,Eastern,Bugisu
90,BUVUMA,Central,Buganda
91,GOMBA,Central,Buganda
92,KIRYANDONGO,Western,Bunyoro
93,KYANKWANZI,Central,Buganda
94,LUUKA,Eastern,Busoga
95,NAMAYINGO,Eastern,Busoga
96,NTOROKO,Western,Rwenzori
97,SERERE,Eastern,Teso
98,BUKOMANSIMBI,Central,Buganda
99,BUTAMBALA,Central,Buganda
100,KALUNGU,Central,Buganda
101,SHEEMA,Western,Ankole
102,KIBUKU,Eastern,Bukedi
103,KOLE,Northern,Lango
104,KWEEN,Eastern,Sebei
105,LWENGO,Central,Buganda
106,MITOOMA,Western,Ankole
107,NAPAK,Northern,Karamoja
108,NGORA,Eastern,Teso
109,BUHWEJU,Western,Ankole
110,NWOYA,Northern,Acholi
111,AGAGO,Northern,Acholi
112,RUBIRIZI,Western,Ankole
113,KAGADI,Western,Bunyoro
114,KAKUMIRO,Western,Bunyoro
115,OMORO,Northern,Acholi
116,RUBANDA,Western,Kigezi
117,BUNYANGABU,Western,Tooro
118,BUTEBO,Eastern,Bukedi
119,KYOTERA,Central,Buganda
120,NAMISINDWA,Eastern,Bugisu
121,PAKWACH,Northern,West Nile
122,RUKIGA,Western,Kigezi
123,BUGWERI,Eastern,Busoga
124,KAPELEBYONG,Eastern,Teso
125,ARUA CITY,Northern,West Nile
126,FORT PORTAL CITY,Western,Tooro
127,GULU CITY,Northern,Acholi
128,HOIMA CITY,Western,Bunyoro
129,JINJA CITY,Eastern,Busoga
130,KALAKI,Eastern,Teso
131,KARENGA,Northern,Karamoja
132,KASSANDA,Central,Buganda
133,KAZO,Western,Ankole
134,KIKUUBE,Western,Bunyoro
135,KITAGWENDA,Western,Tooro
136,KWANIA,Northern,Lango
137,LIRA CITY,Northern,Lango
138,MADI OKOLLO,Northern,West Nile
139,MASAKA CITY,Central,Buganda
140,MBALE CITY,Eastern,Bugisu
141,MBARARA CITY,Western,Ankole
142,NABILATUK,Northern,Karamoja
143,OBONGI,Northern,Madi
144,RWAMPARA,Western,Ankole
145,SOROTI CITY,Eastern,Teso
146,TEREGO,Northern,West Nile
