district_code,county_code,sub_county_code,parish_code,parish_name
1,3,1,3,AKOKORO
1,3,1,4,AWILA
1,3,1,5,AYEOLYEC
1,3,1,6,KUNGU
1,3,2,8,ATOPI
1,3,2,9,AKERE
1,3,2,10,ATANA
1,3,2,11,ABEDI
1,3,3,13,"ABYEIBUTI WARD"
1,3,3,32,"PABBO WARD"
1,3,3,33,"TETUGU WARD"
1,3,4,14,KIDILANI
1,3,4,15,CHEGERE
1,3,4,16,ATIGOLWOK
1,3,4,28,ADEM
1,3,4,31,ONGICA
1,3,5,19,AGANGA
1,3,5,20,TAROGALI
1,3,5,21,AKETO
1,3,5,22,AMII-ABERIDWOGO
1,3,5,23,ALWOROCENG
1,3,5,25,AMII-AMILO
1,3,6,7,"ABERIDWOGO WARD"
1,3,6,12,"ALENGA WARD"
1,3,7,17,BARODILO
1,3,7,18,TEBOKE
1,3,7,26,ILEE
1,3,7,29,AGONG
1,3,7,30,OLOLANGO
1,3,8,1,AYAGO
1,3,8,2,APOI
1,3,8,24,ALARO
1,3,8,27,AMUN
1,3,8,34,WANSOLO
1,291,1,7,"BARDEK WARD"
1,291,1,9,"BUNG WARD"
1,291,1,12,"INDUSTRIAL WARD"
1,291,1,15,"OLILI WARD"
1,291,2,3,"ANGAYIKI WARD"
1,291,2,6,"AYERA WARD"
1,291,2,10,"CENTRAL WARD"
1,291,2,11,"DAM WARD"
1,291,3,2,AMINTENG
1,291,3,5,"AWIR WARD"
1,291,3,14,ODOKOMAC
1,291,3,18,"TE-IBU WARD"
1,291,3,20,"WORMWAKA WARD"
1,291,4,1,"ADOK WARD"
1,291,4,4,"ATOPI WARD"
1,291,4,8,"BARODONG WARD"
1,291,4,13,"NGEC WARD"
1,291,4,16,"OWANG WARD"
1,291,4,17,"OYO WARD"
1,291,4,19,"TEMOGO WARD"
2,7,1,1,ANYARA
2,7,1,2,KATI
2,7,1,5,MITE
2,7,1,6,NYIOVURA
2,7,1,7,OMBACHI
2,7,2,8,ALIBA
2,7,2,9,ALIVU
2,7,2,10,BURA
2,7,2,14,MICU
2,7,2,37,ROBU
2,7,2,38,KAMULE
2,7,3,19,NYIO
2,7,3,20,WANDI
2,7,3,21,OMBOKORO
2,7,3,22,ONZIVU
2,7,3,23,YABIAVOKO
2,7,3,41,BUNYU
2,7,3,42,TURU
2,7,3,48,ANIPI
2,7,3,49,AMBEKO
2,7,4,26,ADALAFU
2,7,4,27,DRIWALA
2,7,4,28,ETORI
2,7,4,29,ALIVU
2,7,4,30,POKEA
2,7,4,31,ORUGBO
2,7,4,32,YIVU
2,7,4,43,KOMITE
2,7,4,44,NYARACU
2,7,5,11,ELEKU
2,7,5,12,ODRAVU
2,7,5,13,LUFE
2,7,5,15,OMBACHI
2,7,5,16,OREKU
2,7,5,39,EWADRI
2,7,5,40,OMBOKORO
2,7,5,50,ROBU
2,7,6,17,ARIWARA
2,7,6,18,ARIVU
2,7,6,24,YAPI
2,7,6,25,ODRAVU
2,7,6,45,LUVU
2,7,6,46,TANGANYIKA
2,7,6,47,ODULUBA
2,7,7,3,MBARAKA
2,7,7,4,KUBO
2,7,7,33,OLEVU
2,7,7,35,ANZU
2,11,1,1,ONZORO
2,11,1,2,ARIPIA
2,11,1,3,EREA
2,11,1,4,ONAI
2,11,1,5,OTREVU
2,11,1,6,PARANGA
2,11,1,25,AYURI
2,11,1,26,ALIA
2,11,1,27,IDAYI
2,11,2,8,AJIRAKU
2,11,2,9,ABINDI
2,11,2,30,NICU
2,11,2,31,ADRIPI
2,11,3,11,OKAVU
2,11,3,12,OCOPI
2,11,3,13,OLUA
2,11,3,14,ANAVU
2,11,3,33,OLEA
2,11,3,34,ONZORO
2,12,1,1,AJIA
2,12,1,2,AYAA
2,12,1,3,OCHOKO
2,12,1,4,OLEVU
2,12,1,20,NYIRIVU
2,12,1,26,ALIVU
2,12,1,27,EWAA
2,12,1,28,AYAA-YIA
2,12,1,29,OMBOKORO
2,12,2,5,OMBAVU
2,12,2,6,AWIKA
2,12,2,7,ECEKO
2,12,2,8,ULUPI
2,12,2,21,OMOO
2,12,2,32,PAJURU
2,12,3,9,ANYAVU
2,12,3,10,LAZEBU
2,12,3,11,OKAVU
2,12,3,12,OLIBA
2,12,3,13,OZOO
2,12,3,30,JIKI
2,12,3,31,CHIABA
2,12,4,14,AJONO
2,12,4,15,ANZUU
2,12,4,16,ERUBA
2,12,4,17,EZUKU
2,12,4,18,NYIO
2,12,4,19,OPIA
2,12,4,22,RINGILI
2,12,4,23,KULUVA
2,12,4,24,TILEVU
2,12,4,25,AYAVU
2,13,1,1,AWINDIRI
2,13,1,2,BASAAR
2,13,1,3,MVARA
2,13,2,4,KENYA
2,13,2,5,PANGISA
2,13,2,6,TANGANYIKA
2,279,4,15,ANGAZI
2,279,4,16,ANYUFIRA
2,279,4,17,OWAYI
2,279,4,18,BURA
2,279,4,19,OBI
2,279,4,20,NDAAPI
2,279,4,35,YIDDU
2,279,4,40,DUKU
2,279,5,21,AZAAPI
2,279,5,22,LUGBARI
2,279,5,23,OMBOKORO
2,279,5,24,ORIVU
2,279,5,36,IMVEPI
2,279,5,37,OTUMBARI
2,279,5,38,OKAVU
2,279,6,7,KATIKU
2,279,6,10,EJONI
2,279,6,28,AKINIO
2,279,6,29,MARAJU
2,279,6,32,OTUMBARI
3,14,1,5,NJUULE
3,14,1,23,NYAMBARO
3,14,1,50,TOMBWE
3,14,1,55,"NJULE EAST"
3,14,1,56,KANANKULUNGO
3,14,2,6,BUBUKWANGA
3,14,2,26,MAMPONGYA
3,14,2,32,HUMYA
3,14,2,51,BUNYAMWERA
3,14,2,52,SAARA
3,14,3,10,"BUMADU WARD"
3,14,3,11,"BUMATE WARD"
3,14,3,12,"BUNDIBUGYO CENTRAL WARD"
3,14,3,13,"HAMUTITI WARD"
3,14,3,14,"KANYANSIMBI WARD"
3,14,3,34,"BIMARA WARD"
3,14,4,15,BUGOMBWA
3,14,4,16,BUSARU
3,14,4,35,KIRINDI
3,14,4,41,BUNDIMWENDI
3,14,4,42,KINYANTE
3,14,5,1,"BUNDIKAHUNGU WARD"
3,14,5,2,"BUNDIKUYALI WARD"
3,14,5,27,"BHAMBA WARD"
3,14,5,28,"BUNDIMULINGA WARD"
3,14,5,29,"KAHUNGU WARD"
3,14,5,30,"KASIRI WARD"
3,14,5,39,"NYAHUKA WARD"
3,14,5,40,"SIMBYA NKURU WARD"
3,14,6,7,BUNDIMURANGYA
3,14,6,24,KATUMBA
3,14,6,33,BUNDIKEKI
3,14,6,37,BUNDIBUTURO
3,14,6,38,NYANKIRO
3,14,7,17,BUSORU
3,14,7,18,HAKITARA
3,14,7,36,KAGHEMA
3,14,7,43,KISUBA
3,14,7,44,BUBOMBOLI
3,14,8,19,MIRAMBI
3,14,8,21,KUKA
3,14,8,45,NJANJA
3,14,9,3,BUNDINGOMA
3,14,9,47,BUNDINAMANDI
3,14,9,48,BUSU
3,14,9,49,NAKASOHE
3,14,10,8,BUNDINYAMA
3,14,10,9,MATAISA
3,14,10,25,BUNYARUTA
3,14,10,53,BUHANDA
3,14,10,54,HAKITENGYA
3,14,11,4,"BUSUNGA WARD"
3,14,11,22,"MULUNGITANWA WARD"
3,14,11,31,"LAMIA WARD"
3,14,11,61,"BUSUNGA CENTRAL WARD"
3,14,11,63,"RUTOBO WARD"
3,14,12,20,"BUGANIKIRE WARD"
3,14,12,46,"SIMBYA WARD"
3,14,12,57,"BUNDIKAKEMBA WARD"
3,14,12,58,"KYAMAIZI WARD"
3,14,12,59,"NKISYA WARD"
3,14,12,60,"NYAHUNGU WARD"
3,215,1,2,BUPOMBOLI
3,215,1,3,KASULENGE
3,215,1,21,BUMATE
3,215,1,61,KIHOKO
3,215,1,62,NYALULU
3,215,1,63,KITSOLIMA
3,215,1,64,KIRINDI
3,215,2,6,KASITU
3,215,2,31,NDALIBANA
3,215,2,45,KATWAKALI
3,215,2,46,MUNGUNI
3,215,3,12,BUTAMA
3,215,3,18,KASANZI
3,215,4,1,BUKANGAMA
3,215,4,16,BUHUNDU
3,215,4,25,IRAMBURA
3,215,4,57,KATSANGIRWA
3,215,4,58,KITUTI
3,215,5,4,BUGANDO
3,215,5,9,NTOTORO
3,215,5,28,KANYANSIRI
3,215,5,29,KINYANKENDE
3,215,5,34,NYASORO
3,215,5,35,BUHUNDU
3,215,6,11,BUNYANGULE
3,215,6,13,KAKUKA
3,215,6,36,NYANKONDA
3,215,7,7,KIKYO
3,215,7,8,NGAMBA
3,215,7,22,BUTOLYA
3,215,7,27,BURAMBAGIRA
3,215,8,5,BURONDO
3,215,8,30,KARAMBI
3,215,8,43,MWEMBI
3,215,8,44,SEMPAYA
3,215,9,10,BUNYAMWERA
3,215,9,37,NKURANGA
3,215,9,47,KAGHUGHU
3,215,9,48,KYEBUMBA
3,215,10,32,"NTANDI WARD"
3,215,10,38,"BUNDIMASOLI WARD"
3,215,10,39,"KAHUMBU WARD"
3,215,10,40,"KIRAMBI WARD"
3,215,10,41,"MPULYA WARD"
3,215,10,42,"NYABUGESERA WARD"
3,215,11,19,MABERE
3,215,11,20,MALOMBA
3,215,11,33,NYAKIGHOMA
3,215,11,49,MAHINYI
3,215,12,14,"MUTUNDA WARD"
3,215,12,23,"BUNDIMBUGA WARD"
3,215,12,50,"BUNDINJONGYA WARD"
3,215,12,51,"BUTAMA CENTRAL WARD"
3,215,12,52,"KAHIMBI WARD"
3,215,12,53,"KITENGYA WARD"
3,215,13,15,BUSAMBA
3,215,13,24,BUNGHUHA
3,215,13,54,BUDWEYA
3,215,13,55,BULEMBA
3,215,13,56,BUTHUNGERERI
3,215,14,17,NGITE
3,215,14,26,KALEYALEYA
3,215,14,59,KANYANGOMA
3,215,14,60,MASULE
4,18,1,1,BUMBAIRE
4,18,1,3,KIBAARE
4,18,1,4,KIYAGA
4,18,1,5,NUMBA
4,18,2,10,BIJENGYE
4,18,2,12,KAJUNJU
4,18,2,26,KYEIGOMBE
4,18,3,17,BUYANJA
4,18,3,18,BWERA
4,18,3,19,KARARO
4,18,3,20,KITAGATA
4,18,3,21,KITWE
4,18,3,22,NYAMIYAGA
4,18,4,13,"KATIKAMWE WARD"
4,18,4,31,"KITWE WARD"
4,18,5,2,KAINAMO
4,18,5,7,RYEISHE
4,18,5,30,IBAARE
4,18,5,32,KYAMUGABO
4,18,6,11,BUGAARA
4,18,6,14,NYEIBINGO
4,18,6,15,RUHUMURO
4,18,6,28,BURUNGIRA
4,18,7,34,"KITWE WARD"
4,18,7,35,"RUTOOMA WARD"
4,18,7,36,"RWENTUHA WARD"
4,19,1,5,"BUTARE WARD"
4,19,1,13,"MASHONGA WARD"
4,19,1,19,"KYAMUHUNGA WARD"
4,19,2,1,KABARE
4,19,2,2,KAKANJU
4,19,2,3,KATUNGA
4,19,2,4,KITOJO
4,19,2,21,RUSHINYA
4,19,3,7,KABINGO
4,19,3,8,KYAMUHUNGA
4,19,3,9,MASHONGA
4,19,3,10,NSHUMI
4,19,3,22,SWAZI
4,19,3,25,KAKONI
4,19,3,27,KIBAZI
4,19,4,12,KAHUNGYE
4,19,4,17,NYABUBARE
4,19,4,18,NYARUGOTE
4,19,5,6,"BITOOMA WARD"
4,19,5,11,NYANGA
4,19,5,24,KAKIRA
4,19,5,26,KASHAMBYA
4,19,5,28,KIMURI
4,19,5,29,"NGORORA WARD"
4,19,6,14,"KIGOMA WARD"
4,19,6,15,"KIZINDA WARD"
4,19,6,23,"NYABUBARE WARD"
4,19,7,16,BIRIMBI
4,19,7,30,KANYEGYERO
4,19,7,31,NYAMIREMBE
4,19,7,32,BUBARE
4,225,1,1,"RYAMABENGWA WARD"
4,225,1,6,"RUHARO WARD"
4,225,1,9,"WARD II"
4,225,1,24,"KYEITEMBE WARD"
4,225,1,27,"BUNYARIGI WARD"
4,225,1,29,"CENTRAL WARD"
4,225,2,13,"KASHENYI WARD"
4,225,2,19,"WARD  III"
4,225,2,20,"WARD  IV"
4,225,2,23,"BURAMBA WARD"
4,225,2,30,"TOWN WARD"
4,225,3,2,"KIBAARE WARD"
4,225,3,5,"MAZINGA WARD"
4,225,3,8,"WARD I"
4,225,3,16,"RWENJERU WARD"
4,225,3,33,"NTUNGAMO WARD"
5,23,1,1,GWENGDIYA
5,23,1,2,PADUNY
5,23,1,3,BURCORO
5,23,1,21,PUGWINYI
5,23,1,26,PAGEYA
5,23,2,6,"ATIABAR NORTH"
5,23,2,10,PUNENA
5,23,2,29,"ATIABAR CENTRAL"
5,23,2,31,"ATIABAR SOUTH"
5,23,2,32,LUKOME
5,23,3,11,KAL-ALII
5,23,3,12,KAL-UMU
5,23,3,14,PAGIK
5,23,3,33,"ATOO HILL"
5,23,3,34,"KAL-ALII B"
5,23,3,35,LABAN
5,23,3,36,LAMINTO
5,23,4,18,LABWOROMOR
5,23,4,19,MEDE
5,23,4,30,OROKO
5,23,4,37,AWICH
5,23,4,38,OCETOAKA
5,23,4,39,ONGEDO
5,23,5,22,KAL
5,23,5,23,PAWEL
5,23,6,15,PAKWELO
5,23,6,16,ANGAYA
5,23,6,17,UNYAMA
5,23,6,27,ODING
5,23,7,5,AGONGA
5,23,7,7,LALIYA
5,23,7,8,"PAGEYA LAROO"
5,23,7,40,LAWIYADUL
5,23,7,41,"OBIYA LAROO"
5,23,7,43,"TWON OKUN"
5,23,8,13,APEM
5,23,8,45,BOKE
5,23,8,46,BULKUR
5,23,8,47,KURU
5,23,8,48,LAKWELA
5,23,8,49,OGWARI
5,23,9,20,KITENY
5,23,9,51,LUGORE
5,23,9,52,POKOGALI
5,23,10,9,PABWO
5,23,10,24,PUGWINYI
5,23,10,25,OITINO
5,23,10,53,KULUKENO
5,23,10,56,PAMINANO
5,23,11,54,"ACUTOMER GEM"
5,23,11,55,AYWERI
5,23,11,58,BOLIPII
5,23,11,59,TUGU
5,23,12,4,LABAN
5,23,12,61,OGURU
5,23,12,62,OTEGE
5,23,12,63,WILUL
5,27,1,14,BAR-DEGE
5,27,1,15,KANYAGOGA
5,27,1,17,KASUBI
5,27,1,22,"FOR GOD"
5,27,2,2,AGWEE
5,27,2,3,IRIAGA
5,27,2,4,"QUEENS AVENUE"
5,27,2,5,"PECE PRISONS"
5,27,3,1,PATUDA
5,27,3,6,LIBRARY
5,27,3,7,TECHO
5,27,3,8,KIROMBE
5,27,4,18,LABOURLINE
5,27,4,19,PAWEL
5,27,4,20,TEGWANA
5,27,4,21,VANGUARD
6,28,1,1,KATEREIGA
6,28,1,2,KIKEREGE
6,28,1,3,BUTEMA
6,28,1,4,KITONYA
6,28,1,8,KITOROGYA
6,28,1,9,KYOHAIRWE
6,28,2,6,NYAKABINGO
6,28,2,7,TONYA
6,28,2,16,BUSERUKA
6,28,2,17,RWENTALE
6,28,7,23,BIRUNGU
6,28,7,24,BULYANGO
6,28,7,25,KIBANJWA
6,28,7,26,KIRAGURA
6,28,7,27,KIRYANGOBE
6,28,7,34,BUDAKA
6,28,8,28,BULINDI
6,28,8,30,KIBUGUBYA
6,28,8,31,KISABAGWA
6,28,9,5,KABAALE
6,28,9,13,NZOROBI
6,28,9,14,KIGAAGA
6,28,9,15,MBEGU
6,28,10,10,BUSANGA
6,28,10,11,KYABANATI
6,28,10,12,BUYANJA
6,28,10,29,BURARU
6,227,1,4,"KIHOMBOZA WARD"
6,227,1,5,"KYESIIGA WARD"
6,227,1,6,"KARONGO WARD"
6,227,1,7,"BUJUURA WARD"
6,227,2,1,"KYENTALE WARD"
6,227,2,14,"BWIKYA WARD"
6,227,2,15,"KICWAMBA WARD"
6,227,2,16,"NYAKAMBUGU WARD"
6,227,3,2,"KIDUUMA WARD"
6,227,3,8,"KASINGO WARD"
6,227,3,9,"KIBINGO WARD"
6,227,3,10,"KIHUKYA WARD"
6,227,4,3,"SOUTHERN WARD"
6,227,4,11,"CENTRAL WARD"
6,227,4,12,"NORTHERN WARD"
6,227,4,13,"WESTERN WARD"
6,264,1,1,KYAMUKWENDA
6,264,1,2,KIBENGEYA
6,264,1,15,KAPAAPI
6,264,2,3,MARONGO
6,264,2,4,BUHIRIGI
6,264,2,5,HANGA
6,264,2,6,KANYIIRA
6,264,2,14,BWIKYA
6,264,3,8,BUKONA
6,264,3,9,HAIBALE
6,264,3,10,KABATINDULE
6,264,3,11,NGARAGI
6,264,3,18,KISUKUMA
6,264,4,12,KIRYANDONGO
6,264,4,13,KYERAMYA
6,264,4,16,KIGANJA
6,264,4,32,KIBIRO
6,264,5,7,KARUNGU
6,264,5,33,KYABISAGAZI
6,264,6,19,"NORTH EAST WARD"
6,264,6,20,"NORTHERN WARD"
6,264,6,21,"SOUTH EAST WARD"
6,264,6,22,"SOUTH WEST WARD"
6,264,7,17,KIJONGO
6,264,7,23,KIGOMBA
6,264,7,24,HANGA
7,38,1,1,BUGONO
7,38,1,2,ITANDA
