district_code,county_code,sub_county_code,parish_code,village_code,village_name
1,3,1,3,1,ABALOKWERI
1,3,1,3,5,"ALUGA CENTRAL"
1,3,1,3,6,ARAC
1,3,1,3,7,ARAK
1,3,1,3,8,"ARINGO YAT"
1,3,1,3,9,EDOR
1,3,1,3,10,OLOC
1,3,1,3,11,TORO
1,3,1,4,1,"ACANYENG OTYENO"
1,3,1,4,2,AKOLODONG
1,3,1,4,3,"AMINO MONG"
1,3,1,4,4,"AMWONY ONGULU"
1,3,1,4,5,ANGU
1,3,1,4,6,"ATEK CENTRAL"
1,3,1,4,7,AWANY
1,3,1,4,8,AYERA
1,3,1,4,9,IDEP
1,3,1,4,10,LELA
1,3,1,4,11,OPAROMO
1,3,1,4,12,OTWONOGWEN
1,3,1,5,1,ABONGODERO
1,3,1,5,2,ACENGLYET
1,3,1,5,3,APAROMO
1,3,1,5,4,"DIPI/PABBO SUDD"
1,3,1,5,5,"IDEP KITGUM ISLAND"
1,3,1,5,6,"KAMULI SUDD"
1,3,1,5,10,ACAMCABO
1,3,1,6,1,"ABUDAMA  'A'"
1,3,1,6,2,"ABUDAMA ' B'"
1,3,1,6,3,"ACHOLI INN"
1,3,1,6,4,AMOWINYA
1,3,1,6,5,IGULU
1,3,1,6,6,ISUNGA
1,3,1,6,7,KAICHA
1,3,1,6,8,"TE ALAL'"
1,3,1,6,9,"KAMPALA KAGOYE"
1,3,2,8,1,"AKULI 'A'"
1,3,2,8,2,"AKULI 'B'"
1,3,2,8,5,"ANYAI A"
1,3,2,8,6,"ANYAI B"
1,3,2,8,7,ANYAPO
1,3,2,8,8,ATAKARA
1,3,2,8,9,ATEK
1,3,2,9,7,OBANI
1,3,2,9,10,OLELPEK
1,3,2,9,12,OMELE
1,3,2,10,1,ABARLER
1,3,2,10,2,"ABOLO EAST"
1,3,2,10,3,"ABOLO WEST"
1,3,2,10,4,ABULI
1,3,2,10,5,AGIKDAK
1,3,2,10,13,AYEGERO
1,3,2,10,14,AYOMJERI
1,3,2,10,16,IWAL
1,3,2,11,1,ABONGORWOT
1,3,2,11,2,"ACANDYANG 'A'"
1,3,2,11,3,"ACANDYANG 'B'"
1,3,2,11,4,ADAGAYELA
1,3,2,11,5,AGWENG
1,3,2,11,6,AKUKINGA
1,3,2,11,7,ALOGORO
1,3,2,11,8,AMWOK
1,3,2,11,9,ANYIGE
1,3,2,11,10,ATAR
1,3,2,11,11,"BAR OPOK 'A'"
1,3,2,11,12,"BAR OPOK 'B'"
1,3,2,11,13,BARADU
1,3,2,11,14,IBALIKOMA
1,3,2,11,15,"LANGO CENTRE"
1,3,2,11,16,OMER
1,3,2,11,17,OTEK
1,3,2,11,18,"TE OPOK"
1,3,2,11,19,"WITIM 'A'"
1,3,2,11,20,"WITIM 'B'"
1,3,3,13,1,OLWIT
1,3,3,13,2,ABEIBUTI
1,3,3,13,3,"AKOKORO S.S"
1,3,3,13,4,"AKOKORO T/C EAST"
1,3,3,13,5,"AKOKORO T/C WEST"
1,3,3,32,2,KAKALA
1,3,3,32,3,PABBO
1,3,3,32,9,"WANGCENYE A"
1,3,3,32,10,"WANGCENYE B"
1,3,3,33,1,"AYEI A"
1,3,3,33,2,"AYEI B"
1,3,3,33,3,"AYEI C"
1,3,3,33,8,"TETUGU A"
1,3,3,33,9,"TETUGU B"
1,3,4,14,1,"ABEDI A"
1,3,4,14,2,ABULUMOGO
1,3,4,14,3,"ACAN PII"
1,3,4,14,4,ADIR
1,3,4,14,5,ADWONGOKUN
1,3,4,14,6,"ALIK A"
1,3,4,14,7,AWIRI
1,3,4,14,8,"KWOYO 'A'"
1,3,4,14,9,"KWOYO 'B'"
1,3,4,14,10,"ABEDI B"
1,3,4,14,11,"ALIK B"
1,3,4,15,1,ABUTABER
1,3,4,15,2,"ANGEKI B"
1,3,4,15,3,ADYEGI-IBANA
1,3,4,15,4,"ANYAMBAZI B"
1,3,4,15,6,"ANGEKI A"
1,3,4,15,7,"ANYAMBAZI A"
1,3,4,15,8,APOKI
1,3,4,15,9,ARWOTOLEKO
1,3,4,15,11,ATINGLAKI
1,3,4,15,12,AYERA
1,3,4,16,1,"ABOI A"
1,3,4,16,2,"ABOI B"
1,3,4,16,4,ACANDEK-PE
1,3,4,16,5,ADAGAYELA
1,3,4,16,6,ADWIL
1,3,4,16,8,"AMINKEC B"
1,3,4,16,11,ANENOBER
1,3,4,16,13,ANYWARGIKI
1,3,4,16,14,ARWOTNYAP
1,3,4,16,15,AWEINYEKO
1,3,4,16,16,OLUMUNU
1,3,4,28,1,ADEM
1,3,4,28,2,ADINGDONG
1,3,4,28,4,ALARI
1,3,4,28,5,"ALONG A"
1,3,4,28,10,"ATEK A"
1,3,4,28,11,"ATEK B"
1,3,4,28,12,"ALONG B"
1,3,4,28,13,CHAMA
1,3,4,31,2,"ABWAL A"
1,3,4,31,3,"ABWAL B"
1,3,4,31,4,"ABWAL C"
1,3,4,31,7,"AMINKEC A"
1,3,4,31,9,"AMINKEC C"
1,3,4,31,10,AMWAK
1,3,4,31,12,ANGANGUTI
1,3,4,31,17,ONGICA
1,3,4,31,18,OYIMA
1,3,4,31,19,"AMINKEC CENTRAL"
1,3,4,31,20,ANGEOKOMA
1,3,5,19,1,ABADE
1,3,5,19,2,ABONGORWOT
1,3,5,19,3,AGANGA
1,3,5,19,4,ALWALA
1,3,5,19,5,IGOTI/ITWARA
1,3,5,19,6,WAITUMBA
1,3,5,20,1,ABONGOKERE
1,3,5,20,6,BARACUT
1,3,5,20,7,ONEKGWOK
1,3,5,20,8,RWAKISAZA
1,3,5,20,9,TAROGALI
1,3,5,20,10,TE-ACODA
1,3,5,20,11,TEBOKE
1,3,5,21,2,ANENOBER
1,3,5,21,6,ODIT
1,3,5,21,7,OJAA
1,3,5,21,8,OLUT
1,3,5,21,9,OMULAKERE
1,3,5,22,6,ALADO
1,3,5,22,7,ATINLEE
1,3,5,22,11,CULALOBO
1,3,5,23,1,ACINANGA
1,3,5,23,2,"ADOK 'A'"
1,3,5,23,3,"ADOK 'B'"
1,3,5,23,4,ADYELOWANG
1,3,5,23,5,AGOGA
1,3,5,23,6,"AJOADOKO 'A'"
1,3,5,23,7,"AJOADOKO 'B'"
1,3,5,23,8,AJODYEK
1,3,5,23,9,ARUKULONG
1,3,5,23,10,ALEKOLI
1,3,5,23,11,AMIAMOLA
1,3,5,23,12,APELE
1,3,5,23,13,AYAMOKUTA
1,3,5,23,14,BAR-AYOM
1,3,5,23,15,OBALIA
1,3,5,23,16,TE-GOT
1,3,5,25,1,ABATAPO
1,3,5,25,2,AJWINYA
1,3,5,25,3,ALEBTONG
1,3,5,25,4,"AMII 'A'"
1,3,5,25,5,"AMII 'B'"
1,3,5,25,6,"AMII DAM"
1,3,5,25,7,AMILO
1,3,5,25,8,"AMWONYOCAO 'A'"
1,3,5,25,9,"AMWONYOCAO 'B'"
1,3,5,25,10,APALAMIO
1,3,5,25,11,APALIODONG
1,3,5,25,12,CONGLOBO
1,3,5,25,13,TEITEK
1,3,6,7,1,ABERIDWOGO
1,3,6,7,2,ACANDANO
1,3,6,7,3,ACOKOGORO
1,3,6,7,4,ADYANGODEO
1,3,6,7,5,AKAO-IDEBE
1,3,6,7,8,"IBUJE S.S"
1,3,6,7,9,"MICIRI 'A'"
1,3,6,7,10,"MICIRI 'B'"
1,3,6,12,1,ADUNI
1,3,6,12,2,"ADAK 'A'"
1,3,6,12,3,"ADAK 'B'"
1,3,6,12,4,ALENGA
1,3,6,12,5,AMOLA
1,3,6,12,6,BOKE
1,3,6,12,7,GINNERY
1,3,6,12,8,"LANGO DYANG"
1,3,6,12,10,OTUCULUK
1,3,6,12,11,PIDA
1,3,7,17,1,ABOKE
1,3,7,17,3,"ACOK A"
1,3,7,17,4,"ADOK 'B'"
1,3,7,17,5,"AJO-ODUR A"
1,3,7,17,6,AKADAMERI
1,3,7,17,7,AKAIDEBE
1,3,7,17,8,"AJO-ODUR B"
1,3,7,17,9,"ACOK B"
1,3,7,18,1,"ABOLO A"
1,3,7,18,2,"ADULA A"
1,3,7,18,4,"ADYANG A"
1,3,7,18,6,AKAIDEBE
1,3,7,18,8,ANGUR
1,3,7,18,9,OKAROWOK
1,3,7,18,10,"ABOLO B"
1,3,7,18,11,"ADULA B"
1,3,7,18,12,"ADYANG B"
1,3,7,26,1,"ADOK 'A'"
1,3,7,26,2,"ADOK 'C'"
1,3,7,26,3,"ADYEGI 'A'"
1,3,7,26,4,"ADYEGI 'B'"
1,3,7,26,5,"ADYEGI 'C'"
1,3,7,26,6,"ILEE 'A'"
1,3,7,26,7,"ILEE 'B'"
1,3,7,26,8,ODYEKPEE
1,3,7,26,9,GIDO
1,3,7,26,10,"ADYEGI D"
1,3,7,29,1,"ADWONGMOM B"
1,3,7,29,2,"AGONG B"
1,3,7,29,3,"ADWONGMOM A"
1,3,7,29,5,"AGONG A"
1,3,7,29,7,AMUNOMIA-PII
1,3,7,30,1,"ACANOKUN B"
1,3,7,30,2,"ACANOKUN A"
1,3,7,30,3,"DULOWELO B"
1,3,7,30,4,"OKUTAGWE B"
1,3,7,30,5,"OLOLANGO B"
1,3,7,30,8,AKURITOO
1,3,7,30,9,"DULOWELO A"
1,3,7,30,10,"OKUTAGWE A"
1,3,7,30,11,"OLOLANGO A"
1,3,8,1,1,ABONGOKONGO
1,3,8,1,2,AGALI
1,3,8,1,3,AKOKONINO
1,3,8,1,4,"AYAGO CENTRAL"
1,3,8,1,5,AYENG
1,3,8,1,6,AYUMI
1,3,8,1,7,"OBANGAOKURA  A"
